year,category,film,Studio/Creator(s),result,gender,birthdate
1930,Outstanding Picture,Metro-Goldwyn-Mayer,The Broadway Melody,Winner,,
1930,Outstanding Picture,Feature Productions,Alibi,Nominee,,
1930,Outstanding Picture,Fox,In Old Arizona,Nominee,,
1930,Outstanding Picture,Metro-Goldwyn-Mayer,Hollywood Revue,Nominee,,
1930,Outstanding Picture,Paramount Famous Lasky,The Patriot,Nominee,,
1931,Outstanding Production,Universal,All Quiet on the Western Front,Winner,,
1931,Outstanding Production,Cosmopolitan,The Big House,Nominee,,
1931,Outstanding Production,Warner Bros.,Disraeli,Nominee,,
1931,Outstanding Production,Metro-Goldwyn-Mayer,The Divorcee,Nominee,,
1931,Outstanding Production,Paramount Famous Lasky,The Love Parade,Nominee,,
1930,Art Direction,Cedric Gibbons,The Bridge of San Luis Rey,Winner,,
1930,Art Direction,Hans Dreier,The Patriot,Nominee,,
1930,Art Direction,Mitchell Leisen,Dynamite,Nominee,,
1930,Art Direction,William Cameron Menzies,Alibi,Nominee,,
1930,Art Direction,William Cameron Menzies,The Awakening,Nominee,,
1930,Art Direction,Harry Oliver,Street Angel,Nominee,,
1931,Art Direction,Herman Rosse,King of Jazz,Winner,,
1931,Art Direction,(William Cameron Menzies),Bulldog Drummond,Nominee,,
1931,Art Direction,(Hans Dreier),The Love Parade,Nominee,,
1931,Art Direction,(Jack Okey),Sally,Nominee,,
1931,Art Direction,(Hans Dreier),The Vagabond King,Nominee,,
