year,category,film,name,result,gender,birthday
2020,Directing,Parasite,Bong Joon-Ho,Winner,Male,1969
2020,Directing,The Irishman,Martin Scorsese,Nominee,Male,1942
2020,Directing,Joker,Todd Phillips,Nominee,Male,1970
2020,Directing,1917,Sam Mendes,Nominee,Male,1965
2020,Directing,Once upon a Time...in Hollywood,Quentin Tarantino,Nominee,Male,1963
2021,Directing,Nomadland,Chloé Zhao,Winner,Female,1982
2021,Directing,Another Round,Thomas Vinterberg,Nominee,Male,1969
2021,Directing,Mank,David Fincher,Nominee,Male,1962
2021,Directing,Minari,Lee Isaac Chung,Nominee,Male,1978
2021,Directing,Promising Young Woman,Emerald Fennell,Nominee,Female,1985
2020,Actor in a Leading Role,Joker,Joaquin Phoenix,Winner,Male,1974
2020,Actor in a Leading Role,Pain and Glory,Antonio Banderas,Nominee,Male,1960
2020,Actor in a Leading Role,Once upon a Time...in Hollywood,Leonardo DiCaprio,Nominee,Male,1974
2020,Actor in a Leading Role,Marriage Story,Adam Driver,Nominee,Male,1983
2020,Actor in a Leading Role,The Two Popes,Jonathan Pryce,Nominee,Male,1947
2021,Actor in a Leading Role,The Father,Anthony Hopkins,Winner,Male,1937
2021,Actor in a Leading Role,Sound of Metal,Riz Ahmed,Nominee,Male,1982
2021,Actor in a Leading Role,Ma Rainey's Black Bottom,Chadwick Boseman,Nominee,Male,1976
2021,Actor in a Leading Role,Mank,Gary Oldman,Nominee,Male,1958
2021,Actor in a Leading Role,Minari,Steven Yeun,Nominee,Male,1983
2020,Actress in a Leading Role,Judy,Renée Zellweger,Winner,Female,1969
2020,Actress in a Leading Role,Harriet,Cynthia Erivo,Nominee,Female,1987
2020,Actress in a Leading Role,Marriage Story,Scarlett Johansson,Nominee,Female,1984
2020,Actress in a Leading Role,Little Women,Saoirse Ronan,Nominee,Female,1994
2020,Actress in a Leading Role,Bombshell,Charlize Theron,Nominee,Female,1975
2021,Actress in a Leading Role,Nomadland,Frances McDormand,Winner,Female,1957
2021,Actress in a Leading Role,Ma Rainey's Black Bottom,Viola Davis,Nominee,Female,1965
2021,Actress in a Leading Role,The United States vs. Billie Holiday,Andra Day,Nominee,Female,1984
2021,Actress in a Leading Role,Pieces of a Woman,Vanessa Kirby,Nominee,Female,1988
2021,Actress in a Leading Role,Promising Young Woman,Carey Mulligan,Nominee,Female,1985
